Rank,Model,Overall,CC,STM,Diversity,LQ,Length
1,Gemma-4-31B,97.72,97.80,94.87,98.34,96.61,99.88
2,Mimo-v2.5-Pro,97.52,97.52,93.59,96.87,98.43,97.75
3,Mimo-v2.5,97.48,96.80,94.87,97.75,98.98,97.72
4,Claude-Sonnet-4.6,97.43,96.53,94.87,98.46,98.09,99.21
5,GPT-5.5,96.91,96.17,93.59,99.43,97.64,97.31
6,DeepSeek-V4-Flash,96.67,95.75,88.46,99.20,98.21,97.91
7,DeepSeek-V4-Pro,96.51,95.88,84.62,98.78,97.58,99.05
8,Qwen3.5-27B,96.43,97.47,93.59,97.33,94.65,96.65
9,MiniMax-M2.7,96.09,96.47,88.46,96.33,97.09,95.69
10,Kimi-K2.5,95.90,95.79,89.74,96.73,97.63,94.83
11,M2-HER,95.55,94.23,80.77,98.62,99.30,96.17
12,Ditto-8B,95.09,95.36,98.72,90.60,95.18,95.93
13,GLM-5,94.05,95.27,94.87,98.53,97.16,81.95
14,Qwen3-14B,92.95,92.49,88.46,84.12,94.41,99.30
15,Qwen3-8B,91.62,88.35,88.46,85.75,96.02,99.03
16,HER-32B,91.41,89.89,82.05,97.38,95.98,87.50
17,CoSER-Llama-3.1-70B,88.57,88.37,85.90,94.38,90.59,82.80
18,Mistral-Small-3.2-24B,87.53,87.64,88.46,81.30,84.31,96.40
19,Ministral-3-14B,77.67,90.06,76.92,92.88,52.86,71.95
20,Hermes-4-14B,76.69,75.24,67.95,71.14,80.53,81.25
21,L3-8B-Stheno-v3.2,75.81,85.16,88.31,86.17,44.66,88.62
22,Qwen3.5-2B,72.40,71.29,61.54,97.45,52.50,95.84
23,Llama-3.1-8B-RoleMRC-DPO,69.34,69.06,82.05,64.56,57.68,88.56
24,Qwen2.5-7B-RoleMRC-DPO,68.24,66.32,65.38,66.21,61.54,87.50
25,CoSER-Llama-3.1-8B,64.10,57.58,60.26,85.47,65.72,67.99
26,Crab,60.63,53.61,61.54,76.77,56.19,78.06
