Rank,Model,Type,Overall,CC,STM,Diversity,LQ,Length,CtoF
1,Gemma-4-31B,Open,96.02,95.46,90.50,93.49,97.66,98.49,4
2,GPT-5.5,API,95.30,94.42,92.00,92.58,97.87,96.54,5
3,Claude-Sonnet-4.6,API,94.72,94.68,86.00,92.22,98.16,93.70,7
4,Mimo-v2.5,API,94.43,93.94,91.00,86.62,99.03,94.59,5
5,Kimi-K2.5,API,94.31,94.25,87.50,88.70,98.16,94.06,4
6,Mimo-v2.5-Pro,API,93.98,94.95,90.00,87.59,98.73,88.75,3
7,DeepSeek-V4-Pro,API,93.96,93.56,85.00,95.43,97.41,91.42,8
8,MiniMax-M2.7,API,93.88,94.00,88.50,87.82,96.53,94.93,12
9,Ditto-8B,RP,93.47,92.91,93.00,82.76,96.52,97.39,9
10,DeepSeek-V4-Flash,API,92.79,91.81,87.00,91.79,98.58,88.70,16
11,GLM-5,API,92.28,93.94,87.00,88.24,95.51,86.38,9
12,Qwen3.5-27B,Open,92.10,94.53,85.00,89.48,96.59,81.41,6
13,M2-HER,RP,91.03,87.82,79.00,90.23,97.26,94.79,18
14,Qwen3-14B,Open,90.62,88.36,84.00,74.76,96.98,99.60,12
15,HER-32B,RP,89.12,85.21,73.50,92.23,96.93,90.95,49
16,Qwen3-8B,Open,88.43,85.44,85.50,66.45,97.27,98.32,28
17,CoSER-Llama-3.1-70B,RP,86.04,83.19,81.50,81.72,94.84,84.32,26
18,Mistral-Small-3.2-24B,Open,85.71,87.57,84.50,56.69,90.77,91.44,28
19,Ministral-3-14B,Open,78.55,87.82,74.00,90.11,66.46,64.68,44
20,Hermes-4-14B,RP,76.01,75.46,65.50,60.47,84.91,76.70,37
21,L3-8B-Stheno-v3.2,RP,74.34,81.11,85.43,67.76,65.42,69.57,58
22,Qwen2.5-7B-RoleMRC-DPO,RP,71.97,69.28,66.50,56.85,74.82,87.21,40
23,Qwen3.5-2B,Open,67.22,71.19,63.50,78.61,59.18,62.38,73
24,Crab,RP,66.48,56.60,64.00,74.06,70.11,85.87,73
25,Llama-3.1-8B-RoleMRC-DPO,RP,65.92,68.60,78.50,41.05,62.77,75.54,59
26,CoSER-Llama-3.1-8B,RP,64.52,53.47,58.50,71.49,74.82,77.85,48
