Rank,Model,Overall,CC,STM,Diversity,LQ,Length
1,Gemma-4-31B,94.93,93.96,87.70,90.39,98.34,97.60
2,GPT-5.5,94.27,93.31,90.98,88.20,98.02,96.04
3,Kimi-K2.5,93.29,93.27,86.07,83.57,98.50,93.57
4,Claude-Sonnet-4.6,92.99,93.50,80.33,88.23,98.20,90.19
5,Mimo-v2.5,92.48,92.12,88.52,79.50,99.06,92.59
6,MiniMax-M2.7,92.47,92.42,88.52,82.39,96.18,94.44
7,Ditto-8B,92.43,91.34,89.34,77.74,97.37,98.32
8,DeepSeek-V4-Pro,92.33,92.07,85.25,93.28,97.30,86.54
9,Mimo-v2.5-Pro,91.72,93.30,87.70,81.66,98.92,83.00
10,GLM-5,91.15,93.09,81.97,81.66,94.45,89.21
11,DeepSeek-V4-Flash,90.32,89.29,86.07,87.05,98.82,82.81
12,Qwen3.5-27B,89.32,92.64,79.51,84.47,97.83,71.68
13,Qwen3-14B,89.13,85.71,81.15,68.78,98.62,99.79
14,M2-HER,88.13,83.72,77.87,84.86,95.95,93.91
15,HER-32B,87.65,82.22,68.03,88.94,97.54,93.16
16,Qwen3-8B,86.40,83.59,83.61,54.11,98.07,97.86
17,Mistral-Small-3.2-24B,84.54,87.52,81.97,40.95,94.90,88.27
18,CoSER-Llama-3.1-70B,84.42,79.88,78.69,73.63,97.55,85.29
19,Ministral-3-14B,79.11,86.39,72.13,88.34,75.16,60.03
20,Hermes-4-14B,75.57,75.59,63.93,53.66,87.71,73.79
21,Qwen2.5-7B-RoleMRC-DPO,74.36,71.18,67.21,50.86,83.31,87.03
22,L3-8B-Stheno-v3.2,73.41,78.55,83.61,55.98,78.70,57.39
23,Crab,70.23,58.52,65.57,72.33,79.02,90.87
24,CoSER-Llama-3.1-8B,64.79,50.84,57.38,62.56,80.64,84.16
25,Qwen3.5-2B,63.91,71.13,64.75,66.57,63.45,40.99
26,Llama-3.1-8B-RoleMRC-DPO,63.74,68.30,76.23,26.02,66.03,67.21
